sample_name	#reads	n_scaled_reads	input_name	n_input_reads	factor	scaling_group
H2AK119Ub_LT2e_pooled.hg38	2759324	20639857.253333334	Input_LT2e_pooled.hg38	2943338	7.48004121782485	H2AUb
H2AK119Ub_KI001_pooled.hg38	1749618	16124137.339411661	Input_KI001_pooled.hg38	2388971	9.215804443833832	H2AUb
H2AK119Ub_401_pooled.hg38	955800	16288606.705287188	Input_401_pooled.hg38	1291895	17.041856774730267	H2AUb
H2AK119Ub_975_pooled.hg38	1585995	16731638.63704191	Input_975_pooled.hg38	2086928	10.549616257959142	H2AUb
H2AK119Ub_980_pooled.hg38	1018952	21356390.033570014	Input_980_pooled.hg38	1050437	20.959171809437553	H2AUb
H2AK119Ub_983a_pooled.hg38	1009607	14934775.705423053	Input_983a_pooled.hg38	1488325	14.792662595864583	H2AUb
H2AK119Ub_WA14_pooled.hg38	942245	18826266.856793728	Input_WA14_pooled.hg38	1101904	19.980224736447237	H2AUb
H2AK119Ub_1001_pooled.hg38	3052679	14861466.706556562	Input_1001_pooled.hg38	4522344	4.868335880240458	H2AUb
H3K27Ac_LT2e_pooled.hg38	1804509	20639857.253333334	Input_LT2e_pooled.hg38	2943338	11.437935334948916	H3K27Ac
H3K27Ac_KI001_pooled.hg38	1851626	26093369.66118644	Input_KI001_pooled.hg38	2388971	14.092138294227043	H3K27Ac
H3K27Ac_401_pooled.hg38	927562	24171494.61273167	Input_401_pooled.hg38	1291895	26.059168673071632	H3K27Ac
H3K27Ac_975_pooled.hg38	1212741	19563581.71577049	Input_975_pooled.hg38	2086928	16.13170637075063	H3K27Ac
H3K27Ac_980_pooled.hg38	695009	22274511.695467163	Input_980_pooled.hg38	1050437	32.04924208962353	H3K27Ac
H3K27Ac_983a_pooled.hg38	1372757	31051577.22160721	Input_983a_pooled.hg38	1488325	22.619864420000923	H3K27Ac
H3K27Ac_WA14_pooled.hg38	1168655	35705106.78291999	Input_WA14_pooled.hg38	1101904	30.5523073814941	H3K27Ac
H3K27Ac_1001_pooled.hg38	4427990	32963309.724252436	Input_1001_pooled.hg38	4522344	7.444305367503638	H3K27Ac
H3K36me3_LT2e_pooled.hg38	3282684	20639857.253333334	Input_LT2e_pooled.hg38	2943338	6.287494395846001	H3K36me3
H3K36me3_KI001_pooled.hg38	1977730	15320532.904953957	Input_KI001_pooled.hg38	2388971	7.7465239971856406	H3K36me3
H3K36me3_401_pooled.hg38	910661	13045095.681981398	Input_401_pooled.hg38	1291895	14.324864776224521	H3K36me3
H3K36me3_975_pooled.hg38	1292953	11465500.579535434	Input_975_pooled.hg38	2086928	8.867685507157208	H3K36me3
H3K36me3_980_pooled.hg38	835709	14723220.522681475	Input_980_pooled.hg38	1050437	17.61764025836921	H3K36me3
H3K36me3_983a_pooled.hg38	857538	10662851.123460224	Input_983a_pooled.hg38	1488325	12.434260783149229	H3K36me3
H3K36me3_WA14_pooled.hg38	700423	11763441.241356395	Input_WA14_pooled.hg38	1101904	16.794767221174055	H3K36me3
H3K36me3_1001_pooled.hg38	3408476	13948078.859767484	Input_1001_pooled.hg38	4522344	4.09217458470222	H3K36me3
H3K4me1_LT2e_pooled.hg38	2979197	20639857.253333334	Input_LT2e_pooled.hg38	2943338	6.927993433577347	H3K4me1
H3K4me1_KI001_pooled.hg38	3097546	26439576.321288712	Input_KI001_pooled.hg38	2388971	8.535652520184918	H3K4me1
H3K4me1_401_pooled.hg38	676096	10671580.724907398	Input_401_pooled.hg38	1291895	15.784120487190277	H3K4me1
H3K4me1_975_pooled.hg38	1104233	10789488.606297016	Input_975_pooled.hg38	2086928	9.771025323728793	H3K4me1
H3K4me1_980_pooled.hg38	455485	8842023.676828546	Input_980_pooled.hg38	1050437	19.41232680950755	H3K4me1
H3K4me1_983a_pooled.hg38	858094	11756679.885810511	Input_983a_pooled.hg38	1488325	13.700923075805811	H3K4me1
H3K4me1_WA14_pooled.hg38	389066	7199910.953361561	Input_WA14_pooled.hg38	1101904	18.50562874515265	H3K4me1
H3K4me1_1001_pooled.hg38	3681756	16601182.100270694	Input_1001_pooled.hg38	4522344	4.509039192241608	H3K4me1
H3K4me3_LT2e_pooled.hg38	3258894	20639857.253333338	Input_LT2e_pooled.hg38	2943338	6.3333932473205135	H3K4me3
H3K4me3_KI001_pooled.hg38	2514193	19618433.520888813	Input_KI001_pooled.hg38	2388971	7.803073797790708	H3K4me3
H3K4me3_401_pooled.hg38	693809	10011272.98736738	Input_401_pooled.hg38	1291895	14.429436613487834	H3K4me3
H3K4me3_975_pooled.hg38	1313808	11735484.608593455	Input_975_pooled.hg38	2086928	8.932419812174576	H3K4me3
H3K4me3_980_pooled.hg38	615673	10925886.626067173	Input_980_pooled.hg38	1050437	17.74624943121945	H3K4me3
H3K4me3_983a_pooled.hg38	776406	9724509.349370817	Input_983a_pooled.hg38	1488325	12.525031168449004	H3K4me3
H3K4me3_WA14_pooled.hg38	534964	9050183.604888268	Input_WA14_pooled.hg38	1101904	16.91736940221822	H3K4me3
H3K4me3_1001_pooled.hg38	3872084	15960914.372721873	Input_1001_pooled.hg38	4522344	4.122047551840785	H3K4me3
H3K27me3_LT2e_pooled.hg38	2174810	20639857.25333333	Input_LT2e_pooled.hg38	2943338	9.490418589823172	H3K27me3
H3K27me3_KI001_pooled.hg38	1558373	18221580.44909049	Input_KI001_pooled.hg38	2388971	11.69269516931472	H3K27me3
H3K27me3_401_pooled.hg38	995891	21533275.44428413	Input_401_pooled.hg38	1291895	21.62212073839821	H3K27me3
H3K27me3_975_pooled.hg38	1325332	17739555.097122204	Input_975_pooled.hg38	2086928	13.384989645705533	H3K27me3
H3K27me3_980_pooled.hg38	929158	24708425.140390508	Input_980_pooled.hg38	1050437	26.59227509249289	H3K27me3
H3K27me3_983a_pooled.hg38	696544	13073030.796706999	Input_983a_pooled.hg38	1488325	18.768420654986617	H3K27me3
H3K27me3_WA14_pooled.hg38	729132	18483657.173109762	Input_WA14_pooled.hg38	1101904	25.35022077361817	H3K27me3
H3K27me3_1001_pooled.hg38	4892530	30220065.98177552	Input_1001_pooled.hg38	4522344	6.176776837704729	H3K27me3
