sample_name	#reads	n_scaled_reads	input_name	n_input_reads	factor	scaling_group
H2AK119Ub_LT2e_pooled.hg38	2759324	20639857.253333334	Input_LT2e_pooled.hg38	2943338	7.48004121782485	H2AUb
H2AK119Ub_LT2e_rep1.hg38	1096210	20995849.26190129	Input_LT2e_rep1.hg38	1149488	19.153126920846635	H2AUb
H2AK119Ub_LT2e_rep2.hg38	1663114	20411739.773084283	Input_LT2e_rep2.hg38	1793850	12.27320542854205	H2AUb
H2AK119Ub_KI001_pooled.hg38	1749618	16124137.339411661	Input_KI001_pooled.hg38	2388971	9.215804443833832	H2AUb
H2AK119Ub_KI001_rep1.hg38	1131647	16215905.160541154	Input_KI001_rep1.hg38	1536434	14.329473025193504	H2AUb
H2AK119Ub_KI001_rep2.hg38	617971	15958754.25282508	Input_KI001_rep2.hg38	852537	25.8244387727338	H2AUb
H2AK119Ub_401_pooled.hg38	955800	16288606.705287188	Input_401_pooled.hg38	1291895	17.041856774730267	H2AUb
H2AK119Ub_401_rep1.hg38	349663	19192014.977389533	Input_401_rep1.hg38	401119	54.88717701726958	H2AUb
H2AK119Ub_401_rep2.hg38	606137	14981193.59279042	Input_401_rep2.hg38	890776	24.71585399470816	H2AUb
H2AK119Ub_975_pooled.hg38	1585995	16731638.63704191	Input_975_pooled.hg38	2086928	10.549616257959142	H2AUb
H2AK119Ub_975_rep1.hg38	763144	17390169.567453295	Input_975_rep1.hg38	966155	22.78753363382703	H2AUb
H2AK119Ub_975_rep2.hg38	822851	16163956.375717256	Input_975_rep2.hg38	1120773	19.64384363112794	H2AUb
H2AK119Ub_980_pooled.hg38	1018952	21356390.033570014	Input_980_pooled.hg38	1050437	20.959171809437553	H2AUb
H2AK119Ub_980_rep1.hg38	486904	19833226.85919955	Input_980_rep1.hg38	540498	40.73334139624967	H2AUb
H2AK119Ub_980_rep2.hg38	532048	22970831.46562539	Input_980_rep2.hg38	509939	43.17435920372859	H2AUb
H2AK119Ub_983a_pooled.hg38	1009607	14934775.705423053	Input_983a_pooled.hg38	1488325	14.792662595864583	H2AUb
H2AK119Ub_983a_rep1.hg38	371155	14755407.156624733	Input_983a_rep1.hg38	553794	39.755377555535375	H2AUb
H2AK119Ub_983a_rep2.hg38	638452	15041067.766481722	Input_983a_rep2.hg38	934531	23.558650871924158	H2AUb
H2AK119Ub_WA14_pooled.hg38	942245	18826266.856793728	Input_WA14_pooled.hg38	1101904	19.980224736447237	H2AUb
H2AK119Ub_WA14_rep1.hg38	216753	21159570.6563814	Input_WA14_rep1.hg38	225529	97.62065879771629	H2AUb
H2AK119Ub_WA14_rep2.hg38	725492	18225807.381549444	Input_WA14_rep2.hg38	876375	25.121996357712344	H2AUb
H2AK119Ub_1001_pooled.hg38	3052679	14861466.706556562	Input_1001_pooled.hg38	4522344	4.868335880240458	H2AUb
